Form	Hyphenation
imigran	imi➊gran
imigrasi	imi➊gra➊si
impor	im➊por
indah	in➊dah
indeks	in➊deks
independen	in➊de➊pen➊den
indikasi	in➊di➊ka➊si
individu	in➊di➊vi➊du
industri	in➊dus➊tri
infeksi	in➊fek➊si
informasi	in➊for➊ma➊si
infrastruktur	in➊fra➊struk➊tur
inilah	ini➊lah
inisiatif	ini➊si➊a➊tif
insiden	in➊si➊den
instalasi	in➊sta➊la➊si
institusi	in➊sti➊tu➊si
institut	in➊sti➊tut
integrasi	in➊te➊gra➊si
intelijen	in➊te➊li➊jen
intensif	in➊ten➊sif
internal	in➊ter➊nal
internasional	in➋ter➊na➋si➋o➋nal
international	in➋ter➊na➋ti➋o➋nal
internet	in➋ter➊net
intervensi	in➋ter➊ven➋si
inti	in➊ti
investasi	in➊ves➊ta➊si
investigasi	in➊ves➊ti➊ga➊si
investor	in➊ves➊tor
islam	is➊lam
islamic	is➊la➊mic
islamis	is➊la➊mis
istana	is➊ta➊na
istilah	is➊ti➊lah
istimewa	is➊ti➊me➊wa
istri	is➊tri
istrinya	is➋tri➊nya
isyarat	is➋ya➊rat
itulah	itu➊lah
jabatan	ja➋bat➊an
jabatannya	ja➋bat➊an➊nya
jadi	ja➊di
jadwal	jad➊wal
jajak	ja➊jak
jajaran	ja➋jar➊an
jaksa	jak➊sa
jalan	ja➊lan
jalanan	ja➋lan➊an
jalannya	ja➋lan➊nya
jalur	ja➊lur
jaminan	ja➋min➊an
jangan	ja➊ngan
jangka	jang➊ka
janji	jan➊ji
jantung	jan➊tung
Januari	Ja➊nu➊a➊ri
jarak	ja➊rak
jarang	ja➊rang
jaringan	ja➋ring➊an
jasa	ja➊sa
jatuh	ja➊tuh
jatuhnya	ja➋tuh➊nya
jauh	ja➊uh
jawab	ja➊wab
jawaban	ja➋wab➊an
jejak	je➊jak
jejaring	je➊ja➊ring
jelas	je➊las
jembatan	jem➊bat➊an
jenazah	je➊na➊zah
jenderal	jen➊de➊ral
jendral	jen➊dral
jenis	je➊nis
jihadis	ji➊ha➊dis
jika	ji➊ka
jiwa	ji➊wa
juara	ju➊a➊ra
juga	ju➊ga
juli	ju➊li
jumat	jum➊at
jumlah	jum➊lah
jumlahnya	jum➋lah➊nya
jumpa	jum➊pa
Juni	Ju➊ni
junta	jun➊ta
jurnalis	jur➊na➊lis
juru	ju➊ru
jurusan	ju➋rus➊an
justru	jus➊tru
juta	ju➊ta
jutaan	ju➋ta➊an
kabar	ka➊bar
kabinet	ka➊bi➊net
kaca	ka➊ca
kadang	ka➊dang
kaki	ka➊ki
kalah	ka➊lah
kalangan	ka➋lang➊an
kalau	ka➊lau
kali	ka➊li
kalian	ka➊li➊an
kalimat	ka➊li➊mat
kalinya	kali➊nya
kamar	ka➊mar
kamera	ka➊me➊ra
kami	ka➊mi
Kamis	Ka➊mis
kampanye	kam➊pa➊nye
kampung	kam➊pung
kanan	ka➊nan
kandang	kan➊dang
kandidat	kan➊di➊dat
kanker	kan➊ker
kanselir	kan➊se➊lir
kantor	kan➊tor
kapal	ka➊pal
kapan	ka➊pan
kapasitas	ka➊pa➊si➊tas
kapten	kap➊ten
karbon	kar➊bon
karena	ka➊re➊na
karenanya	ka➋re➋na➊nya
karir	ka➊rir
kartu	kar➊tu
karya	kar➊ya
karyawan	kar➊ya➊wan
kasih	ka➊sih
kasus	ka➊sus
kata	ka➊ta
katakan	ka➋ta➊kan
katanya	ka➋ta➊nya
kategori	ka➊te➊go➊ri
katolik	ka➊to➊lik
kaum	ka➊um
kawasan	ka➊wa➊san
kaya	ka➊ya
kayu	ka➊yu
keadaan	ke➊ada➊an
keadilan	ke➊a➋dil➊an
keamanan	ke➊a➋man➊an
keanggotaan	ke➊ang➋go➋ta➊an
kebakaran	ke➊ba➋kar➊an
kebanyakan	ke➊ban➋yak➊an
kebebasan	ke➊be➋bas➊an
kebenaran	ke➊be➋nar➊an
kebencian	ke➊ben➋ci➊an
keberadaan	ke➊ber➊ada➊an
keberatan	ke➊be➋rat➊an
keberhasilan	ke➊ber➊ha➋sil➊an
kebijakan	ke➊bi➋jak➊an
kebudayaan	ke➊bu➋da➋ya➊an
kebutuhan	ke➊bu➋tuh➊an
kecaman	ke➋cam➊an
kecelakaan	ke➊ce➋la➋ka➊an
kecemasan	ke➊ce➋mas➊an
kecepatan	ke➊ce➋pat➊an
kecewa	ke➊ce➊wa
kecil	ke➊cil
kecuali	ke➊cu➊a➊li
kecurangan	ke➊cu➋rang➊an
kedatangan	ke➊da➋tang➊an
kedaulatan	ke➊dau➋lat➊an
kedua	ke➊dua
keduanya	ke➊dua➊nya
kedutaan	ke➊du➋ta➊an
keempat	ke➊em➋pat
kegagalan	ke➊ga➋gal➊an
kegiatan	ke➊giat➊an
kehadiran	ke➊ha➋dir➊an
kehidupan	ke➊hi➋dup➊an
kehilangan	ke➊hi➋lang➊an
kehormatan	ke➊hor➋mat➊an
keinginan	ke➊ingin➊an
kejadian	ke➊ja➋di➊an
kejahatan	ke➊ja➋hat➊an
kejaksaan	ke➊jak➋sa➊an
kejutan	ke➋jut➊an
kekacauan	ke➊ka➋cau➊an
kekalahan	ke➊ka➋lah➊an
kekayaan	ke➊ka➋ya➊an
kekerasan	ke➊ke➋ras➊an
kekhawatiran	ke➊kha➋wa➋tir➊an
kekuasaan	ke➊kua➋sa➊an
kekuatan	ke➊kuat➊an
kekurangan	ke➊ku➋rang➊an
kelahiran	ke➊la➋hir➊an
kelanjutan	ke➊lan➋jut➊an
kelaparan	ke➊la➋par➊an
kelas	ke➊las
kelihatannya	ke➊li➋hat➊an➊nya
kelima	ke➊li➋ma
kelompok	ke➊lom➊pok
keluar	ke➊luar
keluarga	ke➊lu➊ar➊ga
keluarganya	ke➋luar➋ga➊nya
kemajuan	ke➊ma➋ju➊an
kemampuan	ke➊mam➋pu➊an
kemanusiaan	ke➊ma➋nu➋sia➊an
kemarahan	ke➊ma➋rah➊an
kemarin	ke➊ma➊rin
kematian	ke➊ma➋ti➊an
kembali	kem➊ba➊li
kemenangan	ke➊me➋nang➊an
kementerian	ke➊men➋te➋ri➊an
kementrian	ke➊men➋tri➊an
kemerdekaan	ke➊mer➋de➋ka➊an
kemiskinan	ke➊mis➋kin➊an
kemitraan	ke➊mi➋tra➊an
kemudian	ke➊mu➊di➊an
kemungkinan	ke➊mung➋kin➊an
kenaikan	ke➊naik➊an
kenal	ke➊nal
kenapa	ke➊na➊pa
kendali	ken➊da➋li
kendaraan	ken➋da➋ra➊an
kendati	ken➊da➊ti
kenyataan	ke➊nya➋ta➊an
kenyataannya	ke➊nya➋ta➊an➊nya
kepada	ke➊pa➊da
kepala	ke➊pa➊la
kepemimpinan	ke➊pe➊mim➊pin➊an
kepentingan	ke➊pen➋ting➊an
kepercayaan	ke➊per➋ca➋ya➊an
kepolisian	ke➊po➋li➋si➊an
kepresidenan	ke➊pre➋si➋den➊an
kepulauan	ke➊pu➋lau➊an
keputusan	ke➊pu➋tus➊an
keraguan	ke➊ra➋gu➊an
kerajaan	ke➊ra➋ja➊an
kerangka	ke➊rang➊ka
kerap	ke➊rap
keras	ke➊ras
kereta	ke➊re➊ta
kerja	ker➊ja
kertas	ker➊tas
kerugian	ke➊rugi➊an
kerusakan	ke➊ru➋sak➊an
kerusuhan	ke➊ru➋suh➊an
kesadaran	ke➊sa➋dar➊an
kesalahan	ke➊sa➋lah➊an
kesan	ke➊san
kesatuan	ke➊sa➋tu➊an
kesediaan	ke➊se➋dia➊an
kesehatan	ke➊se➋hat➊an
kesejahteraan	ke➊se➋jah➋te➋ra➊an
keselamatan	ke➊se➋la➋mat➊an
keseluruhan	ke➊se➋lu➋ruh➊an
kesempatan	ke➊sem➋pat➊an
kesepakatan	ke➊se➋pa➋kat➊an
kesimpulan	ke➊sim➋pul➊an
kesuksesan	ke➊suk➋ses➊an
kesulitan	ke➊su➋lit➊an
ketakutan	ke➊ta➋kut➊an
ketat	ke➊tat
ketegangan	ke➊te➋gang➊an
keterangan	ke➊te➋rang➊an
keterlibatan	ke➊ter➊li➋bat➊an
ketiga	ke➊ti➋ga
ketika	ke➊ti➋ka
ketimbang	ke➊tim➊bang
ketua	ke➊tua
keturunan	ke➊tu➋run➊an
keuangan	ke➊uang➊an
keuntungan	ke➊un➋tung➊an
kewajiban	ke➊wa➋jib➊an
khawatir	kha➊wa➊tir
khusus	khu➊sus
khususnya	khu➋sus➊nya
kilometer	ki➋lo➊me➋ter
kimia	ki➊mia
kini	ki➊ni
kira	ki➊ra
kiri	ki➊ri
kisah	ki➊sah
kita	ki➊ta
klasemen	kla➊se➊men
koalisi	ko➊a➊li➊si
komandan	ko➊man➊dan
komando	ko➊man➊do
komentar	ko➊men➊tar
komisaris	ko➊mi➊sa➊ris
komisi	ko➊mi➊si
komite	ko➊mi➊te
komitmen	ko➊mit➊men
kompetisi	kom➊pe➊ti➊si
kompleks	kom➊pleks
kompromi	kom➊pro➊mi
komputer	kom➊pu➊ter
komunikasi	ko➊mu➊ni➊ka➊si
komunis	ko➊mu➊nis
komunitas	ko➊mu➊ni➊tas
kondisi	kon➊di➊si
konferensi	kon➊fe➊ren➊si
konflik	kon➊flik
